activity_subset,percentile,value,strategy,strategyLabel,strategyGroup,strategyType
NA,0,0.000358389,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.01,0.403865437,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.02,0.719173255,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.03,1.003375363,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.04,1.255207701,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.05,1.494299821,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.06,1.713948095,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.07,1.91476392,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.08,2.107024277,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.09,2.29447923,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.1,2.477380928,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.11,2.662431972,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.12,2.837484148,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.13,3.00608012,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.14,3.178087715,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.15,3.345476083,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.16,3.508524763,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.17,3.675027803,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.18,3.837563973,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.19,4.013218909,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.2,4.178047518,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.21,4.354689258,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.22,4.522704028,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.23,4.688732134,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.24,4.855667408,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.25,5.033419246,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.26,5.196060083,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.27,5.370147205,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.28,5.528607129,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.29,5.702983179,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.3,5.871815587,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.31,6.042549124,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.32,6.213277405,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.33,6.382710992,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.34,6.548692452,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.35,6.722259058,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.36,6.902304315,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.37,7.085782472,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.38,7.267869623,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.39,7.450469309,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.4,7.643349162,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.41,7.856268519,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
